Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-01-03,58.33,58.33,58.33,58.33
2007-01-04,55.41,55.41,55.41,55.41
2007-01-05,56.32,56.32,56.32,56.32
2007-01-08,56.1,56.1,56.1,56.1
2007-01-09,55.65,55.65,55.65,55.65
2007-01-10,54.03,54.03,54.03,54.03
2007-01-11,51.89,51.89,51.89,51.89
2007-01-12,53,53,53,53
2007-01-16,51.22,51.22,51.22,51.22
2007-01-17,52.25,52.25,52.25,52.25
2007-01-18,50.49,50.49,50.49,50.49
2007-01-19,50.49,50.49,50.49,50.49
2007-01-22,51.14,51.14,51.14,51.14
2007-01-23,53.9,53.9,53.9,53.9
2007-01-24,54.73,54.73,54.73,54.73
2007-01-25,53.59,53.59,53.59,53.59
2007-01-26,55.43,55.43,55.43,55.43
2007-01-29,54.02,54.02,54.02,54.02
2007-01-30,56.98,56.98,56.98,56.98
2007-01-31,58.15,58.15,58.15,58.15
2007-02-01,57.31,57.31,57.31,57.31
2007-02-02,59.03,59.03,59.03,59.03
2007-02-05,58.75,58.75,58.75,58.75
2007-02-06,58.89,58.89,58.89,58.89
2007-02-07,57.72,57.72,57.72,57.72
2007-02-08,59.72,59.72,59.72,59.72
2007-02-09,59.9,59.9,59.9,59.9
2007-02-12,57.82,57.82,57.82,57.82
2007-02-13,59.06,59.06,59.06,59.06
2007-02-14,59.06,59.06,59.06,59.06
2007-02-15,58,58,58,58
2007-02-16,59.41,59.41,59.41,59.41
2007-02-20,58.08,58.08,58.08,58.08
2007-02-21,59.53,59.53,59.53,59.53
2007-02-22,59.56,59.56,59.56,59.56
2007-02-23,60.53,60.53,60.53,60.53
2007-02-26,61.4,61.4,61.4,61.4
2007-02-27,61.47,61.47,61.47,61.47
2007-02-28,61.8,61.8,61.8,61.8
2007-03-01,62.01,62.01,62.01,62.01
2007-03-02,61.65,61.65,61.65,61.65
2007-03-05,60.08,60.08,60.08,60.08
2007-03-06,60.7,60.7,60.7,60.7
2007-03-07,61.83,61.83,61.83,61.83
2007-03-08,61.65,61.65,61.65,61.65
2007-03-09,60.06,60.06,60.06,60.06
2007-03-12,58.92,58.92,58.92,58.92
2007-03-13,57.94,57.94,57.94,57.94
2007-03-14,58.17,58.17,58.17,58.17
2007-03-15,57.56,57.56,57.56,57.56
2007-03-16,57.12,57.12,57.12,57.12
2007-03-19,56.6,56.6,56.6,56.6
2007-03-20,56.74,56.74,56.74,56.74
2007-03-21,57.37,57.37,57.37,57.37
2007-03-22,60.65,60.65,60.65,60.65
2007-03-23,61.49,61.49,61.49,61.49
2007-03-26,62.92,62.92,62.92,62.92
2007-03-27,62.94,62.94,62.94,62.94
2007-03-28,64.09,64.09,64.09,64.09
