Date,y,day_of_week,day_of_year,week,quarter,month,S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,CO_Close,RBOB_f__Open,RBOB_f__High,RBOB_f__Low,RBOB_f__Close,RBOB_f__Volume,RBOB_f__OpenInt,RBOB_minus_CO,y_shif1,y_shif2,y_shif3,y_shif4,y_shif5,rolling_mean_week,rolling_mean_month,rolling_mean_2days,rolling_mean_3days,rolling_std_week,rolling_std_month,rolling_std_3days,rolling_std_2days,y_rr1,y_rr2,y_rr3,y_rr5,y_rr10,y_rr21,volatility,RBOB_f_CDL2CROWS,RBOB_f_CDL3BLACKCROWS,RBOB_f_CDL3INSIDE,RBOB_f_CDL3LINESTRIKE,RBOB_f_CDL3OUTSIDE,RBOB_f_CDL3STARSINSOUTH,RBOB_f_CDL3WHITESOLDIERS,RBOB_f_CDLABANDONEDBABY,RBOB_f_CDLADVANCEBLOCK,RBOB_f_CDLBELTHOLD,RBOB_f_CDLBREAKAWAY,RBOB_f_CDLCLOSINGMARUBOZU,RBOB_f_CDLCONCEALBABYSWALL,RBOB_f_CDLCOUNTERATTACK,RBOB_f_CDLDARKCLOUDCOVER,RBOB_f_CDLDOJI,RBOB_f_CDLDOJISTAR,RBOB_f_CDLDRAGONFLYDOJI,RBOB_f_CDLENGULFING,RBOB_f_CDLEVENINGDOJISTAR,RBOB_f_CDLEVENINGSTAR,RBOB_f_CDLGAPSIDESIDEWHITE,RBOB_f_CDLGRAVESTONEDOJI,RBOB_f_CDLHAMMER,RBOB_f_CDLHANGINGMAN,RBOB_f_CDLHARAMI,RBOB_f_CDLHARAMICROSS,RBOB_f_CDLHIGHWAVE,RBOB_f_CDLHIKKAKE,RBOB_f_CDLHIKKAKEMOD,RBOB_f_CDLHOMINGPIGEON,RBOB_f_CDLIDENTICAL3CROWS,RBOB_f_CDLINNECK,RBOB_f_CDLINVERTEDHAMMER,RBOB_f_CDLKICKING,RBOB_f_CDLKICKINGBYLENGTH,RBOB_f_CDLLADDERBOTTOM,RBOB_f_CDLLONGLEGGEDDOJI,RBOB_f_CDLLONGLINE,RBOB_f_CDLMARUBOZU,RBOB_f_CDLMATCHINGLOW,RBOB_f_CDLMATHOLD,RBOB_f_CDLMORNINGDOJISTAR,RBOB_f_CDLMORNINGSTAR,RBOB_f_CDLONNECK,RBOB_f_CDLPIERCING,RBOB_f_CDLRICKSHAWMAN,RBOB_f_CDLRISEFALL3METHODS,RBOB_f_CDLSEPARATINGLINES,RBOB_f_CDLSHOOTINGSTAR,RBOB_f_CDLSHORTLINE,RBOB_f_CDLSPINNINGTOP,RBOB_f_CDLSTALLEDPATTERN,RBOB_f_CDLSTICKSANDWICH,RBOB_f_CDLTAKURI,RBOB_f_CDLTASUKIGAP,RBOB_f_CDLTHRUSTING,RBOB_f_CDLTRISTAR,RBOB_f_CDLUNIQUE3RIVER,RBOB_f_CDLUPSIDEGAP2CROWS,RBOB_f_CDLXSIDEGAP3METHODS,CCI,BOP,WILLR,RSI,PLUS_DM,RBOB_f_DEMA,RBOB_f_EMA,RBOB_f_HT_TRENDLINE,RBOB_f_KAMA,RBOB_f_MA,RBOB_f_MIDPOINT,RBOB_f_SMA,RBOB_f_T3,RBOB_f_TEMA,RBOB_f_TRIMA,RBOB_f_WMA
2010-07-01,2.0038,3,182,26,3,7,1040.56,1048.08,1028.33,1030.71,1161099392.0,75.63,2.0588,2.079,2.0211,2.06,92705.0,227736.0,0.26218571428571424,2.0695,2.1363,2.1698,2.0972,2.0848,2.1071399999999993,2.0879523809523794,2.066200000000002,2.089566666666668,0.04541291666475073,0.06076503615606107,0.04060656761330337,0.004666904755808156,-0.003189176129499982,-0.03435847025230532,-0.049267213568070733,-0.010504604758250213,-0.04291546812656599,0.040554854981084576,0.16845293103575795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.66947171575497,0.020725388601033963,-76.30937880633374,46.16720823550265,0.1881940564951505,2.091516937830948,2.0973110615030617,2.0930286257309936,2.0733672430354693,2.0575433333333337,2.1167999999999996,2.0575433333333337,2.117060469167342,2.1022976422497432,2.0603508333333305,2.087535483870967
2010-07-02,1.9839,4,183,26,3,7,1031.1,1033.58,1010.91,1027.37,1311592320.0,72.95,2.0599,2.0612,1.9718,1.9909999999999999,318328.0,227736.0,0.2668952380952381,2.0629,2.0695,2.1363,2.1698,2.0972,2.088459999999999,2.0866999999999982,2.033350000000002,2.045400000000001,0.06535474734095136,0.062269406613519214,0.036177479182503754,0.0417900107681197,-0.028648989286926163,-0.031746798743657934,-0.06202312409305799,-0.04453557123784091,-0.07879735196763504,-0.012955026845968165,0.16991265936150476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.01587090776349,-0.7706935123042508,-91.00702576112417,40.72923667808278,0.17475162388835402,2.0802140328229393,2.0912780897931866,2.0949649999999997,2.0729798935783137,2.0569566666666668,2.0895,2.0569566666666668,2.0943934883057924,2.085369270322912,2.0673874999999975,2.0840681720430103
2010-07-06,1.9788,1,187,27,3,7,1027.65,1032.95,1015.93,1022.58,904615936.0,72.14,1.9943,2.006,1.9568,1.9777,84969.0,227736.0,0.2662809523809524,2.0038,2.0629,2.0695,2.1363,2.1698,2.0512799999999993,2.081709523809522,1.9938500000000023,2.0168666666666684,0.06018680918606319,0.06617794878025234,0.041088968511436605,0.014071424945590313,-0.00993113085138242,-0.03829560327694026,-0.04136264798260458,-0.08567609917964791,-0.08101723179544185,-0.050174749844400734,0.17002600826450873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.82542639056268,-0.3373983739837409,-90.85339168490155,39.06085525478106,0.16226936503918588,2.0675195486990816,2.084350471096852,2.095220555555555,2.0725046384218886,2.057436666666667,2.07955,2.057436666666667,2.0659089321508475,2.066947380637826,2.0738833333333306,2.0793548387096767
2010-07-07,2.0328,2,188,27,3,7,1028.09,1042.5,1018.35,1028.06,1036616256.0,71.98,1.963,2.0336,1.9480000000000002,1.9775,103285.0,230219.0,0.264990476190476,1.9839,2.0038,2.0629,2.0695,2.1363,2.019779999999999,2.0805666666666647,1.9813500000000022,1.9888333333333348,0.043455459956139246,0.06779625604215274,0.013209970981568042,0.0036062445839575327,-0.0025706940874036244,-0.012476295039425156,-0.04076785108342629,-0.07372560033703135,-0.08026957936323498,-0.011983223487118111,0.16999906914686574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.222968769441,0.16939252336448613,-87.56847871892124,38.62418840350143,0.17827869610781552,2.0554253350227443,2.077540763284152,2.095298333333333,2.0720289937535856,2.057816666666667,2.077,2.057816666666667,2.036932994655949,2.0499465110284905,2.079576249999997,2.0742815053763435
2010-07-08,2.0561,3,189,27,3,7,1028.54,1060.89,1028.54,1060.27,1062572672.0,74.07,1.9745,2.044,1.959,2.0425,88944.0,232180.0,0.2692285714285716,1.9788,1.9839,2.0038,2.0629,2.0695,2.012439999999999,2.0819571428571413,2.005800000000002,1.9985000000000015,0.035290126097814165,0.06642432966487785,0.029813922922026323,0.03818376618406637,0.027289266221952824,0.02464841977922272,0.014472502245733043,-0.01773375211403727,-0.048848961257720425,0.014573767219005829,0.17170668539017772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.81657840341565,0.800000000000001,-60.1769911504425,45.5633660613069,0.175944503528686,2.051265360993721,2.0746542624271096,2.0941494444444446,2.071656683159296,2.0597600000000003,2.077,2.0597600000000003,2.018082099246831,2.0449486959027263,2.084393749999997,2.07266752688172
2010-07-09,2.0747,4,190,27,3,7,1062.92,1071.25,1058.24,1070.25,952025728.0,75.44,2.0423,2.0738,2.0287,2.0645,88758.0,233490.0,0.2599095238095237,2.0328,1.9788,1.9839,2.0038,2.0629,2.011079999999999,2.0847333333333316,2.044450000000002,2.022566666666668,0.032910135216975674,0.06390154406063386,0.03965303687403784,0.016475588001636732,0.011462022825659224,0.03906407923994326,0.036392963355007746,-0.003296330408648074,-0.013766308518802894,0.029182100310341186,0.17203298071065778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.180800416573906,0.4922394678492223,-50.90602612726516,48.280505192978374,0.19317703899092256,2.0504574529787543,2.073457213238264,2.092559035087719,2.0713763558125704,2.063813333333334,2.0743,2.063813333333334,2.0120995505819224,2.044912349959517,2.0881591666666637,2.0724313978494617
2010-07-12,2.0305,0,193,28,3,7,1070.5,1078.16,1068.1,1077.96,722405056.0,76.09,2.0641,2.0798,2.043,2.0763,61901.0,228739.0,0.26303333333333323,2.0561,2.0328,1.9788,1.9839,2.0038,2.025259999999999,2.089242857142856,2.065400000000002,2.054533333333335,0.04278274184761442,0.05931807963368647,0.02099388799945697,0.013152186130061949,0.009046252614172579,0.02061196379378205,0.04846371538306049,0.03538277273180945,-0.010728590501621227,0.047828282828282775,0.17164306480288674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9416076799768978,0.331521739130435,-45.93341761483361,50.40849530896595,0.18537867906299976,2.0520964951717806,2.0735373930293437,2.0918316081871344,2.071429122374334,2.067333333333334,2.0743,2.067333333333334,2.017273851663335,2.0483674313685087,2.0905854166666638,2.0731337634408593
2010-07-13,2.0858,1,194,28,3,7,1077.23,1080.78,1070.45,1078.75,691541696.0,74.95,2.0702,2.0743,2.0241,2.03,83660.0,229492.0,0.24597619047619035,2.0747,2.0561,2.0328,1.9788,1.9839,2.034579999999999,2.0870428571428556,2.052600000000002,2.053766666666668,0.03606919738502107,0.06064835176184402,0.022192190818703397,0.03125411972844115,-0.021304284956861208,-0.01245075628617276,-0.0011314443132625085,0.023489087151570054,-0.06419946538851506,-0.022246833919198794,0.17287437289190252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.97790494357075,-0.8007968127490004,-61.77156177156192,45.60635640833753,0.17213734484421406,2.0481057027718306,2.0707607870274507,2.0902404678362574,2.071235671203014,2.067096666666667,2.0743,2.067096666666667,2.0232464899573745,2.0434813719383293,2.0916183333333307,2.070757419354838
2010-07-14,2.069,2,195,28,3,7,1080.65,1099.46,1080.65,1095.34,944480640.0,77.15,2.0316,2.0907,2.0138,2.0815,95704.0,229391.0,0.24889523809523784,2.0305,2.0747,2.0561,2.0328,1.9788,2.055979999999999,2.088347619047618,2.058150000000002,2.0636666666666676,0.02462837794089602,0.06029503809640903,0.029254458349689753,0.039103004999612924,0.027234671263235644,0.005350171109075985,0.014444822722630146,0.054073175662017414,-0.02363900201282587,0.013311309755149603,0.1745255898810489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.362656791456821,0.6488946684005192,-37.76223776223775,51.79392847157403,0.17624182021248444,2.051445266539317,2.0717310588321314,2.0892536528822054,2.0713831594897862,2.069196666666667,2.0743,2.069196666666667,2.0337220332466615,2.049335714047376,2.0918724999999974,2.071964086021504
2010-07-15,2.0594,3,196,28,3,7,1095.61,1099.08,1087.68,1095.17,922577984.0,77.04,2.083,2.0933,2.0589,2.0635,118832.0,236529.0,0.23471428571428543,2.0858,2.0305,2.0747,2.0561,2.0328,2.0632199999999985,2.087699999999999,2.077400000000002,2.0617666666666676,0.021191672892898618,0.060432739471248505,0.028350720155469307,0.011879393923927372,-0.008054463515198007,0.01896084708199952,-0.0027473851641200975,0.017807949626131414,-0.00024160425223496151,-0.006530298665129997,0.17322726471560773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.872754609480076,-0.5668604651162842,-46.15384615384626,49.93548141416637,0.16625311876873572,2.0524130002149663,2.071554861488123,2.0883391900205055,2.0713515117596257,2.0720800000000006,2.0743,2.0720800000000006,2.044647106709565,2.051509676902186,2.0913062499999975,2.0719513978494613
