Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-01-03,1.5489,1.5489,1.5489,1.5489
2007-01-04,1.4795,1.4795,1.4795,1.4795
2007-01-05,1.4681,1.4681,1.4681,1.4681
2007-01-08,1.436,1.436,1.436,1.436
2007-01-09,1.4521,1.4521,1.4521,1.4521
2007-01-10,1.403,1.403,1.403,1.403
2007-01-11,1.363,1.363,1.363,1.363
2007-01-12,1.402,1.402,1.402,1.402
2007-01-16,1.3368,1.3368,1.3368,1.3368
2007-01-17,1.3336,1.3336,1.3336,1.3336
2007-01-18,1.3078,1.3078,1.3078,1.3078
2007-01-19,1.348,1.348,1.348,1.348
2007-01-22,1.3304,1.3304,1.3304,1.3304
2007-01-23,1.4048,1.4048,1.4048,1.4048
2007-01-24,1.4229,1.4229,1.4229,1.4229
2007-01-25,1.4016,1.4016,1.4016,1.4016
2007-01-26,1.4359,1.4359,1.4359,1.4359
2007-01-29,1.391,1.391,1.391,1.391
2007-01-30,1.4813,1.4813,1.4813,1.4813
2007-01-31,1.4974,1.4974,1.4974,1.4974
2007-02-01,1.4753,1.4753,1.4753,1.4753
2007-02-02,1.5254,1.5254,1.5254,1.5254
2007-02-05,1.5162,1.5162,1.5162,1.5162
2007-02-06,1.535,1.535,1.535,1.535
2007-02-07,1.5165,1.5165,1.5165,1.5165
2007-02-08,1.5658,1.5658,1.5658,1.5658
2007-02-09,1.5898,1.5898,1.5898,1.5898
2007-02-12,1.529,1.529,1.529,1.529
2007-02-13,1.6091,1.6091,1.6091,1.6091
2007-02-14,1.6187,1.6187,1.6187,1.6187
2007-02-15,1.6035,1.6035,1.6035,1.6035
2007-02-16,1.6478,1.6478,1.6478,1.6478
2007-02-20,1.6554,1.6554,1.6554,1.6554
2007-02-21,1.7185,1.7185,1.7185,1.7185
2007-02-22,1.7686,1.7686,1.7686,1.7686
2007-02-23,1.7769,1.7769,1.7769,1.7769
2007-02-26,1.7952,1.7952,1.7952,1.7952
2007-02-27,1.8336,1.8336,1.8336,1.8336
2007-02-28,1.8576,1.8576,1.8576,1.8576
2007-03-01,1.8576,1.8576,1.8576,1.8576
2007-03-02,1.9218,1.9218,1.9218,1.9218
2007-03-05,1.8647,1.8647,1.8647,1.8647
2007-03-06,1.8708,1.8708,1.8708,1.8708
2007-03-07,1.9005,1.9005,1.9005,1.9005
2007-03-08,1.9211,1.9211,1.9211,1.9211
2007-03-09,1.8821,1.8821,1.8821,1.8821
2007-03-12,1.8905,1.8905,1.8905,1.8905
2007-03-13,1.922,1.922,1.922,1.922
2007-03-14,1.9133,1.9133,1.9133,1.9133
2007-03-15,1.8591,1.8591,1.8591,1.8591
2007-03-16,1.8896,1.8896,1.8896,1.8896
2007-03-19,1.9456,1.9456,1.9456,1.9456
2007-03-20,1.9246,1.9246,1.9246,1.9246
2007-03-21,1.9124,1.9124,1.9124,1.9124
2007-03-22,1.9275,1.9275,1.9275,1.9275
2007-03-23,1.9275,1.9275,1.9275,1.9275
2007-03-26,2.0202,2.0202,2.0202,2.0202
2007-03-27,2.018,2.018,2.018,2.018
2007-03-28,1.9872,1.9872,1.9872,1.9872
2007-03-29,2.0655,2.0655,2.0655,2.0655
2007-03-30,2.0155,2.0155,2.0155,2.0155
2007-04-02,2.0703,2.0703,2.0703,2.0703
2007-04-03,2.0277,2.0277,2.0277,2.0277
2007-04-04,2.1129,2.1129,2.1129,2.1129
2007-04-05,2.1438,2.1438,2.1438,2.1438
2007-04-09,2.1121,2.1121,2.1121,2.1121
2007-04-10,2.1555,2.1555,2.1555,2.1555
2007-04-11,2.1862,2.1862,2.1862,2.1862
2007-04-12,2.2168,2.2168,2.2168,2.2168
2007-04-13,2.1959,2.1959,2.1959,2.1959
2007-04-16,2.1232,2.1232,2.1232,2.1232
2007-04-17,2.062,2.062,2.062,2.062
2007-04-18,2.087,2.087,2.087,2.087
2007-04-19,2.1048,2.1048,2.1048,2.1048
2007-04-20,2.1556,2.1556,2.1556,2.1556
2007-04-23,2.2094,2.2094,2.2094,2.2094
2007-04-24,2.2276,2.2276,2.2276,2.2276
2007-04-25,2.3163,2.3163,2.3163,2.3163
2007-04-26,2.3253,2.3253,2.3253,2.3253
2007-04-27,2.3938,2.3938,2.3938,2.3938
2007-04-30,2.4655,2.4655,2.4655,2.4655
2007-05-01,2.3722,2.3722,2.3722,2.3722
2007-05-02,2.3101,2.3101,2.3101,2.3101
2007-05-03,2.3251,2.3251,2.3251,2.3251
2007-05-04,2.2739,2.2739,2.2739,2.2739
2007-05-07,2.2496,2.2496,2.2496,2.2496
2007-05-08,2.2582,2.2582,2.2582,2.2582
2007-05-09,2.2896,2.2896,2.2896,2.2896
2007-05-10,2.4236,2.4236,2.4236,2.4236
2007-05-11,2.4521,2.4521,2.4521,2.4521
2007-05-14,2.3962,2.3962,2.3962,2.3962
2007-05-15,2.3816,2.3816,2.3816,2.3816
2007-05-16,2.3982,2.3982,2.3982,2.3982
2007-05-17,2.5216,2.5216,2.5216,2.5216
2007-05-18,2.4914,2.4914,2.4914,2.4914
2007-05-21,2.4838,2.4838,2.4838,2.4838
2007-05-22,2.3913,2.3913,2.3913,2.3913
2007-05-23,2.3979,2.3979,2.3979,2.3979
2007-05-24,2.4294,2.4294,2.4294,2.4294
2007-05-25,2.4737,2.4737,2.4737,2.4737
2007-05-29,2.2979,2.2979,2.2979,2.2979
2007-05-30,2.2725,2.2725,2.2725,2.2725
2007-05-31,2.2512,2.2512,2.2512,2.2512
2007-06-01,2.3096,2.3096,2.3096,2.3096
2007-06-04,2.288,2.288,2.288,2.288
2007-06-05,2.2648,2.2648,2.2648,2.2648
2007-06-06,2.2404,2.2404,2.2404,2.2404
2007-06-07,2.2402,2.2402,2.2402,2.2402
2007-06-08,2.1696,2.1696,2.1696,2.1696
2007-06-11,2.1913,2.1913,2.1913,2.1913
2007-06-12,2.1792,2.1792,2.1792,2.1792
2007-06-13,2.184,2.184,2.184,2.184
2007-06-14,2.2622,2.2622,2.2622,2.2622
2007-06-15,2.3026,2.3026,2.3026,2.3026
2007-06-18,2.3093,2.3093,2.3093,2.3093
2007-06-19,2.2696,2.2696,2.2696,2.2696
2007-06-20,2.2556,2.2556,2.2556,2.2556
2007-06-21,2.2817,2.2817,2.2817,2.2817
2007-06-22,2.3216,2.3216,2.3216,2.3216
2007-06-25,2.3425,2.3425,2.3425,2.3425
2007-06-26,2.2844,2.2844,2.2844,2.2844
2007-06-27,2.2808,2.2808,2.2808,2.2808
2007-06-28,2.2909,2.2909,2.2909,2.2909
2007-06-29,2.3179,2.3179,2.3179,2.3179
2007-07-02,2.3162,2.3162,2.3162,2.3162
2007-07-03,2.3319,2.3319,2.3319,2.3319
2007-07-05,2.3319,2.3319,2.3319,2.3319
2007-07-06,2.3671,2.3671,2.3671,2.3671
2007-07-09,2.4046,2.4046,2.4046,2.4046
2007-07-10,2.4046,2.4046,2.4046,2.4046
2007-07-11,2.8663,2.8663,2.8663,2.8663
2007-07-12,2.3663,2.3663,2.3663,2.3663
2007-07-13,2.2723,2.2723,2.2723,2.2723
2007-07-16,2.1562,2.1562,2.1562,2.1562
2007-07-17,2.1232,2.1232,2.1232,2.1232
2007-07-18,2.2153,2.2153,2.2153,2.2153
2007-07-19,2.2089,2.2089,2.2089,2.2089
2007-07-20,2.1771,2.1771,2.1771,2.1771
2007-07-23,2.1116,2.1116,2.1116,2.1116
2007-07-24,2.0477,2.0477,2.0477,2.0477
2007-07-25,2.0879,2.0879,2.0879,2.0879
2007-07-26,2.0734,2.0734,2.0734,2.0734
2007-07-27,2.0992,2.0992,2.0992,2.0992
2007-07-30,2.0831,2.0831,2.0831,2.0831
2007-07-31,2.0809,2.0809,2.0809,2.0809
2007-08-01,2.0596,2.0596,2.0596,2.0596
2007-08-02,2.0624,2.0624,2.0624,2.0624
2007-08-03,2.059,2.059,2.059,2.059
2007-08-06,1.9509,1.9509,1.9509,1.9509
2007-08-07,1.9717,1.9717,1.9717,1.9717
2007-08-08,1.9752,1.9752,1.9752,1.9752
2007-08-09,1.9752,1.9752,1.9752,1.9752
2007-08-10,1.9985,1.9985,1.9985,1.9985
2007-08-13,1.9975,1.9975,1.9975,1.9975
