Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.075,2.1136,2.0671,2.1044,66994,232937
2010-01-05,2.1111,2.1315,2.1004,2.125,78884,239903
2010-01-06,2.1187,2.1462,2.0933,2.1366,101809,246666
2010-01-07,2.14,2.1455,2.1212,2.1349,92094,251785
2010-01-08,2.137,2.172,2.1162,2.1553,81527,256842
2010-01-11,2.1678,2.1927,2.1309,2.1427,119351,260238
2010-01-12,2.1415,2.146,2.0661,2.0978,110257,263011
2010-01-13,2.07,2.083,2.0212,2.0602,108949,265579
2010-01-14,2.061,2.0815,2.0515,2.0738,132174,269430
2010-01-15,2.073,2.0733,2.0345,2.0454,95760,273407
2010-01-19,2.045,2.0688,2.0098,2.0591,87519,269944
2010-01-20,2.0634,2.0634,2.021,2.0465,88551,273395
2010-01-21,2.0422,2.0689,1.9769,1.9829,98380,279147
2010-01-22,1.9849,2.0004,1.9555,1.9657,169426,275628
2010-01-25,1.96,2.0044,1.952,2.0008,96402,272036
2010-01-26,2,2,1.965,1.9674,105994,270327
2010-01-27,1.97,1.9807,1.9115,1.9392,103969,261580
2010-01-28,1.9437,1.9562,1.9025,1.9174,109792,258693
2010-01-29,1.9264,1.946,1.8899,1.9031,105980,250006
2010-02-01,1.913,1.9475,1.8973,1.9321,105980,250006
2010-02-02,1.9475,2.025,1.9316,2.0179,84566,245080
2010-02-03,2.02,2.0662,2.0154,2.0362,93435,249139
2010-02-04,2.0337,2.0374,1.9333,1.9508,116311,257790
2010-02-05,1.945,1.9595,1.8419,1.8864,132986,259632
2010-02-08,1.907,1.9114,1.87,1.894,90711,256143
2010-02-09,1.8915,1.9488,1.8827,1.929,111742,255331
2010-02-10,1.9325,1.947,1.8892,1.929,89819,255574
2010-02-11,1.9304,1.9465,1.8923,1.9357,120302,258438
2010-02-12,1.938,1.938,1.8716,1.9295,108199,260846
2010-02-16,1.9293,2.01,1.9186,1.9882,117480,257016
2010-02-17,1.9976,2.0103,1.9851,2.0071,101008,258198
2010-02-18,2,2.0736,1.9842,2.0692,77620,255823
2010-02-19,2.0513,2.094,2.035,2.0857,77456,253807
2010-02-22,2.1147,2.1275,2.09,2.1158,115475,254501
2010-02-23,2.115,2.1191,2.0612,2.0656,111071,258415
2010-02-24,2.0695,2.1015,2.0455,2.0989,92106,264307
2010-02-25,2.1005,2.102,2.0225,2.037,135429,264553
2010-02-26,2.038,2.095,2.038,2.0788,108510,265111
2010-03-01,2.1862,2.2177,2.1372,2.1556,70466,261713
2010-03-02,2.1619,2.2224,2.155,2.1966,84492,268321
2010-03-03,2.195,2.2507,2.1914,2.2476,128833,278577
2010-03-04,2.2447,2.25,2.2177,2.2455,88673,291322
2010-03-05,2.247,2.2831,2.2402,2.271,73980,291322
2010-03-08,2.2839,2.2947,2.2676,2.2892,133504,290650
2010-03-09,2.279,2.2804,2.238,2.2635,128114,292916
2010-03-10,2.2604,2.3131,2.2514,2.2851,128119,294622
2010-03-11,2.2753,2.2857,2.259,2.2767,133860,299378
2010-03-12,2.2777,2.295,2.233,2.255,86378,302078
2010-03-15,2.2519,2.264,2.2058,2.2256,71182,302640
2010-03-16,2.2243,2.2859,2.2205,2.2859,100066,313010
2010-03-17,2.286,2.3134,2.2781,2.304,99040,317981
2010-03-18,2.3034,2.304,2.2802,2.301,106372,322935
2010-03-19,2.3005,2.3005,2.2329,2.2543,88364,321964
2010-03-22,2.25,2.2648,2.1988,2.2621,89930,320710
2010-03-23,2.2605,2.266,2.2328,2.2505,89611,324322
2010-03-24,2.249,2.249,2.2104,2.219,120550,323219
2010-03-25,2.219,2.2371,2.21,2.213,108520,324188
2010-03-26,2.211,2.2398,2.1908,2.2155,103848,316165
2010-03-29,2.2134,2.2767,2.2134,2.2627,80814,316128
2010-03-30,2.271,2.2789,2.2557,2.2721,101243,317835
2010-03-31,2.2731,2.3085,2.265,2.3072,101243,317835
2010-04-01,2.2995,2.3379,2.2941,2.3346,92492,319869
2010-04-05,2.3447,2.3672,2.3311,2.3502,81176,320039
2010-04-06,2.3512,2.356,2.3335,2.3521,104417,321990
2010-04-07,2.353,2.3589,2.3077,2.3147,150841,323347
2010-04-08,2.3092,2.319,2.2638,2.2983,175629,324424
2010-04-09,2.303,2.3184,2.2675,2.2893,151640,318831
2010-04-12,2.2911,2.3224,2.2832,2.2958,138264,321828
2010-04-13,2.2972,2.3149,2.2648,2.3093,159918,323469
2010-04-14,2.2936,2.3497,2.2936,2.3329,135900,326066
2010-04-15,2.3327,2.3412,2.3111,2.3393,111354,332977
2010-04-16,2.3358,2.3358,2.2656,2.2939,204490,329380
2010-04-19,2.2939,2.2939,2.2357,2.2745,103416,323451
2010-04-20,2.272,2.3131,2.2707,2.3011,133752,322769
2010-04-21,2.2959,2.3177,2.276,2.2959,129756,323026
2010-04-22,2.295,2.3146,2.2547,2.3092,159330,325366
2010-04-23,2.3084,2.3614,2.2959,2.3592,131556,322076
2010-04-26,2.37,2.3712,2.3388,2.3453,106179,317596
2010-04-27,2.3419,2.3596,2.3112,2.3178,144530,309407
2010-04-28,2.317,2.3359,2.296,2.3296,139816,307652
2010-04-29,2.331,2.37,2.325,2.3568,130439,307267
2010-04-30,2.3666,2.4042,2.3621,2.3987,136246,310280
2010-05-03,2.3994,2.441,2.3923,2.423,91182,309371
2010-05-04,2.424,2.4315,2.305,2.305,160178,301227
2010-05-05,2.3071,2.324,2.213,2.213,227640,301656
2010-05-06,2.217,2.2285,2.1002,2.1495,162153,298363
2010-05-07,2.1535,2.1884,2.1048,2.1318,122531,293678
2010-05-10,2.1341,2.2,2.1341,2.184,111646,287310
2010-05-11,2.178,2.2079,2.152,2.1952,105494,282428
2010-05-12,2.1877,2.2324,2.178,2.2104,135955,280763
2010-05-13,2.2094,2.219,2.1825,2.1833,122025,278693
2010-05-14,2.1845,2.19,2.1176,2.1374,135985,277435
2010-05-17,2.1291,2.138,2.0403,2.0585,138965,267469
2010-05-18,2.0574,2.0889,2.0168,2.0355,123190,269582
2010-05-19,2.0373,2.0385,1.996,2.0111,115370,268720
2010-05-20,2.0129,2.02,1.9162,1.9348,126793,270560
2010-05-21,1.935,1.9776,1.927,1.9634,98844,267852
2010-05-24,1.9535,1.9739,1.9429,1.95,102323,264837
2010-05-25,1.95,1.9505,1.89,1.9501,113046,253511
2010-05-26,1.9577,1.9748,1.9323,1.955,132276,249764
2010-05-27,1.9499,2.0453,1.9499,2.0354,102706,249764
2010-05-28,2.0445,2.0512,1.9958,2.0275,108407,246094
2010-05-31,2.0225,2.0388,2.0214,2.0242,93336,243876
2010-06-01,2.0392,2.0453,1.9707,1.9825,106544,246669
2010-06-02,1.9708,2.049,1.9668,2.045,108827,246797
2010-06-03,2.0428,2.085,2.0254,2.08,121056,248371
2010-06-04,2.0809,2.0977,1.9826,1.9916,89991,246987
2010-06-07,1.985,1.9904,1.9609,1.9904,93623,247345
2010-06-08,1.978,2.0136,1.9748,1.9891,103271,249413
2010-06-09,2.0341,2.05,2.0209,2.023,108897,251680
2010-06-10,2.0305,2.0885,2.023,2.0776,91524,254292
2010-06-11,2.074,2.0849,2.0313,2.059,90425,256093
2010-06-14,2.0553,2.1087,2.0547,2.066,85897,251433
2010-06-15,2.0671,2.1277,2.0605,2.1193,101783,246480
2010-06-16,2.1224,2.1591,2.0992,2.1481,107674,247813
2010-06-17,2.1555,2.1751,2.1377,2.1547,125948,247250
2010-06-18,2.154,2.159,2.1298,2.15,88487,248137
2010-06-21,2.1604,2.1853,2.1197,2.1379,98349,246174
2010-06-22,2.1299,2.1486,2.1157,2.1192,84268,249522
2010-06-23,2.1181,2.1265,2.0602,2.0723,91686,249094
2010-06-24,2.0727,2.0899,2.053,2.0875,68927,246242
2010-06-25,2.085,2.1612,2.0705,2.1585,124957,241137
2010-06-28,2.1559,2.1625,2.123,2.128,90969,236497
2010-06-29,2.128,2.128,2.044,2.0545,101859,226538
2010-06-30,2.0588,2.079,2.0211,2.06,92705,227736
2010-07-01,2.0599,2.0612,1.9718,1.991,318328,227736
2010-07-02,1.9943,2.006,1.9568,1.9777,84969,227736
2010-07-05,1.9777,1.9945,1.9525,1.963,55849,227972
2010-07-06,1.963,2.0336,1.948,1.9775,103285,230219
2010-07-07,1.9745,2.044,1.959,2.0425,88944,232180
2010-07-08,2.0423,2.0738,2.0287,2.0645,88758,233490
2010-07-09,2.0641,2.0798,2.043,2.0763,61901,228739
2010-07-12,2.0702,2.0743,2.0241,2.03,83660,229492
2010-07-13,2.0316,2.0907,2.0138,2.0815,95704,229391
2010-07-14,2.083,2.0933,2.0589,2.0635,118832,236529
2010-07-15,2.058,2.085,2.0264,2.0593,84698,239852
2010-07-16,2.064,2.0688,2.0265,2.0415,77559,242144
2010-07-19,2.0464,2.0974,2.0371,2.0582,90923,244981
2010-07-20,2.0582,2.086,2.0438,2.084,77179,245190
2010-07-21,2.0836,2.1045,2.0571,2.0631,95629,247594
2010-07-22,2.0649,2.1434,2.0592,2.1364,124704,250873
2010-07-23,2.1369,2.1519,2.11,2.115,119229,251374
2010-07-26,2.1174,2.1245,2.091,2.104,82045,253355
2010-07-27,2.1064,2.1204,2.0476,2.0521,125123,249133
2010-07-28,2.0533,2.0683,2.032,2.0607,115586,246798
2010-07-29,2.0618,2.1164,2.0491,2.0985,97378,241109
2010-07-30,2.1004,2.1246,2.062,2.1216,65710,235930
2010-08-02,2.1224,2.1923,2.1204,2.1735,91309,239654
2010-08-03,2.1745,2.1982,2.164,2.19,87161,247595
2010-08-04,2.1878,2.198,2.1616,2.175,122680,245919
2010-08-05,2.1746,2.175,2.1465,2.1675,97794,249176
2010-08-06,2.1614,2.1796,2.096,2.1128,123628,248972
2010-08-09,2.118,2.1431,2.1077,2.1207,101914,244407
2010-08-10,2.1207,2.1248,2.0664,2.0893,131227,244527
2010-08-11,2.0857,2.0943,1.98,1.98,206329,241907
2010-08-12,1.9825,1.995,1.9496,1.9548,148732,246576
2010-08-13,1.955,1.9813,1.926,1.9435,106518,252253
2010-08-16,1.883,1.9052,1.8715,1.8785,84243,251720
2010-08-17,1.8795,1.9246,1.8791,1.9,108688,251053
2010-08-18,1.9014,1.9131,1.8627,1.9035,116841,250139
2010-08-19,1.9064,1.921,1.8682,1.8784,79535,254065
2010-08-20,1.8765,1.885,1.8544,1.871,98029,253419
2010-08-23,1.8672,1.882,1.8323,1.8403,100656,254642
2010-08-24,1.8369,1.8382,1.8022,1.8077,95677,251276
2010-08-25,1.8094,1.8391,1.7851,1.8383,110618,247348
2010-08-26,1.8311,1.876,1.83,1.8629,109306,244148
2010-08-27,1.863,1.9259,1.8454,1.9259,89702,243399
2010-08-30,1.9285,1.9285,1.8961,1.9003,86407,236022
2010-08-31,1.9,1.92,1.848,1.8545,92609,233612
2010-09-01,1.8551,1.9073,1.845,1.8871,120084,237610
2010-09-02,1.89,1.9263,1.8747,1.9198,97617,237610
2010-09-03,1.917,1.9279,1.8755,1.9195,90487,237610
2010-09-06,1.9162,1.9251,1.9047,1.9131,88021,240813
2010-09-07,1.9162,1.9622,1.8817,1.9253,134047,239551
2010-09-08,1.925,1.9594,1.9089,1.9415,91563,241125
2010-09-09,1.94,1.9653,1.9233,1.9303,85767,240943
2010-09-10,1.9338,1.9787,1.9338,1.9745,142136,240363
2010-09-13,1.9746,2.0126,1.974,1.981,138171,242640
2010-09-14,1.9825,2,1.9571,1.9673,118068,242771
2010-09-15,1.969,1.969,1.9357,1.9535,105994,242857
2010-09-16,1.955,1.955,1.9058,1.928,137297,246582
2010-09-17,1.9303,1.9517,1.9,1.9181,90832,246063
2010-09-20,1.918,1.9695,1.9138,1.9488,95565,241697
2010-09-21,1.9512,1.9649,1.9119,1.912,98705,241578
2010-09-22,1.9121,1.9329,1.8826,1.9025,130326,242578
2010-09-23,1.9049,1.9272,1.874,1.908,103221,242717
2010-09-24,1.9122,1.954,1.9054,1.9405,94909,238176
2010-09-27,1.9404,1.9485,1.9122,1.9326,88456,239022
2010-09-28,1.9346,1.9664,1.9191,1.9387,114724,242914
2010-09-29,1.9386,1.9905,1.917,1.9845,123844,237029
2010-09-30,1.9889,2.04,1.977,2.03,125361,238578
2010-10-01,2.032,2.0946,2.0301,2.0861,156335,251827
2010-10-04,2.0942,2.1215,2.0759,2.0933,156345,257229
2010-10-05,2.0865,2.1258,2.084,2.1236,121343,259571
2010-10-06,2.1255,2.1634,2.1117,2.1591,126880,262267
2010-10-07,2.1598,2.2003,2.1054,2.1174,183448,257004
2010-10-08,2.1158,2.155,2.0931,2.1533,136634,261227
2010-10-11,2.1545,2.1726,2.1421,2.1551,148060,266931
2010-10-12,2.155,2.1631,2.1181,2.1244,141382,269889
2010-10-13,2.1202,2.1674,2.1192,2.1616,115207,270839
2010-10-14,2.1641,2.185,2.1184,2.14,136113,274915
2010-10-15,2.1179,2.1334,2.0732,2.0808,114804,282574
2010-10-18,2.0808,2.1307,2.068,2.124,92054,283888
2010-10-19,2.1246,2.1275,2.025,2.026,100412,283888
2010-10-20,2.027,2.0758,2.0207,2.0758,237611,283888
2010-10-21,2.0721,2.0827,2.0202,2.039,127483,283888
2010-10-22,2.035,2.0641,2.0278,2.0605,97643,282267
2010-10-25,2.0621,2.092,2.0381,2.0619,97389,278772
2010-10-26,2.0649,2.0802,2.0495,2.0728,105267,277065
2010-10-27,2.0715,2.0798,2.0366,2.0747,116513,270680
2010-10-28,2.076,2.0983,2.069,2.079,112187,271699
2010-10-29,2.0735,2.0839,2.038,2.0607,108482,269751
2010-11-01,2.071,2.1278,2.0686,2.094,110124,277768
2010-11-02,2.096,2.1231,2.0915,2.1223,95066,277836
2010-11-03,2.1221,2.1498,2.1056,2.1383,95560,279935
2010-11-04,2.142,2.1829,2.1397,2.1795,85468,289201
2010-11-05,2.1779,2.1922,2.1614,2.1922,85768,288184
2010-11-08,2.1908,2.193,2.1535,2.1727,101325,282738
2010-11-09,2.1725,2.1959,2.1573,2.18,141432,292042
2010-11-10,2.1827,2.2458,2.1754,2.2332,208816,284437
2010-11-11,2.2325,2.254,2.2142,2.2142,162421,282539
2010-11-12,2.2125,2.2125,2.1511,2.1684,167552,286970
2010-11-15,2.1602,2.1951,2.1556,2.1586,121216,290955
2010-11-16,2.1547,2.1602,2.1079,2.1157,116357,285976
2010-11-17,2.1181,2.1285,2.089,2.1021,142468,290448
2010-11-18,2.11,2.17,2.105,2.1668,160561,290493
2010-11-19,2.169,2.18,2.1045,2.1188,137134,286015
2010-11-22,2.1259,2.15,2.0788,2.0943,109040,282749
2010-11-23,2.095,2.1025,2.058,2.085,38856,282749
2010-11-24,2.086,2.1723,2.086,2.1685,53170,277551
2010-11-25,2.1654,2.1774,2.152,2.167,52739,278300
2010-11-26,2.1675,2.171,2.143,2.1584,35823,274576
2010-11-29,2.1627,2.2269,2.1542,2.2258,61009,271962
2010-11-30,2.2251,2.229,2.182,2.1838,107513,271255
2010-12-01,2.1848,2.3069,2.1848,2.2995,155016,273920
2010-12-02,2.3007,2.3604,2.2942,2.3476,151350,268048
2010-12-03,2.35,2.3643,2.3271,2.3576,120149,270146
2010-12-06,2.357,2.3699,2.3263,2.3301,98165,268940
2010-12-07,2.3321,2.3625,2.304,2.3053,134195,269059
2010-12-08,2.3124,2.3254,2.277,2.31,135470,266892
2010-12-09,2.315,2.3608,2.3,2.3398,171580,264806
2010-12-10,2.3365,2.3467,2.2951,2.314,118586,261140
2010-12-13,2.3105,2.3547,2.3047,2.3047,93671,265415
2010-12-14,2.3105,2.3239,2.2864,2.2931,101277,268541
2010-12-15,2.295,2.3184,2.2609,2.3067,94989,270261
2010-12-16,2.307,2.3227,2.2926,2.3025,101305,274022
2010-12-17,2.3051,2.337,2.2903,2.3195,96855,280144
2010-12-20,2.3126,2.3647,2.3125,2.3569,107224,283739
2010-12-21,2.3621,2.3958,2.3593,2.3947,92281,282834
2010-12-22,2.394,2.4093,2.3912,2.4074,103652,288608
2010-12-23,2.4071,2.4291,2.399,2.4251,57533,288017
2010-12-27,2.4183,2.4305,2.394,2.4008,46599,286479
2010-12-28,2.4018,2.4202,2.3945,2.3986,61454,281314
2010-12-29,2.398,2.4026,2.385,2.395,66342,277224
2010-12-30,2.3943,2.4133,2.3608,2.3875,67890,264415
2010-12-31,2.3966,2.4555,2.3766,2.4323,54115,266081
2011-01-03,2.4257,2.4669,2.425,2.4277,55956,269013
2011-01-04,2.425,2.445,2.375,2.3965,54021,270115
2011-01-05,2.3994,2.4609,2.3688,2.4548,53516,272556
2011-01-06,2.455,2.4738,2.424,2.4467,61572,274536
2011-01-07,2.448,2.4586,2.3945,2.4285,111868,272517
2011-01-10,2.437,2.4697,2.4131,2.4572,110297,272903
2011-01-11,2.4612,2.4883,2.435,2.4647,145127,276293
2011-01-12,2.4657,2.4808,2.45,2.4657,125509,276789
2011-01-13,2.4689,2.4705,2.4323,2.4542,38666,276789
